naam,dag,tijd,dag_tijd,startdatum,duur,periode,prijs,cursusnummer,docent,taal,status,url,categorie,beschrijving
Acteren en Theatermaken,di,19:45 - 21:45,di 19:45 - 21:45,15-04-2025,9 weken,block 3 - spring,student:€115jong-alumnus UvA/HvA:€173oud-alumnus UvA/HvA:€196medewerker UvA/HvA:€173overigen:€230,524303,Danilo Nisi,Nederlands,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/theater/acteren-en-theatermaken/,theater,"Let op: deze cursus wordt zowel in het Nederlands als in het Engels aangeboden; kijk goed bij de cursusdetails voor welke taal jij je inschrijft!

Verdiep je in de basiselementen van theaterspel en versterk jouw speltechniek door opnieuw aan de slag te gaan met het eigen lichaam; verbeelding van emotie; ruimtelijk bewustzijn en verhouding in scenes.  

Wat ga je doen? Deze cursus is naast lekker aan het werk gaan met jouw spel ook een reis langs verschillende vormen van theater; zoals object theater; fysiek theater; improvisatietheater en klassiek teksttoneel.  De les start met een warming up. Hierna ga je aan de slag met oefeningen passend bij het thema of de theatervorm van die dag. In groepjes; met zijn allen; of in duo’s doe je opdrachten

De lessen van Maruja; In de lessen wordt een beroep gedaan op jouw eigen creativiteit. Deze eigen inbreng wordt gekoppeld aan de les opdrachten en zo leer je de basisbeginselen van het theatermaken. De les wordt afgesloten met een toonmoment waarbij we naar elkaars oefeningen kijken. Maruja heeft een grote voorliefde voor interdisciplinaire vormen van theater; zoals muziektheater en bewegingstheater. In haar lessen legt zij verbindingen tussen creativiteit en persoonlijke ontwikkeling en staat spelplezier bovenaan. 

De lessen van Danilo; In deze verdiepende cursus gaan we de diepte in en gaan we verder met het verkennen van speltechnieken en verschillende theatervormen; maar ook de basiselementen zullen veel terugkomen. Hierbij vindt Danilo het onder andere belangrijk dat je durf toont en ervoor open staat om samen het onderzoek aan te gaan. Daarnaast is spelplezier een belangrijk gegeven in zijn lessen; omdat hij ervan overtuigd is dat je dan het meeste leert!"
Acteren en Theatermaken,wo,19:45 - 21:45,wo 19:45 - 21:45,16-04-2025,9 weken,block 3 - spring,student:€115jong-alumnus UvA/HvA:€173oud-alumnus UvA/HvA:€196medewerker UvA/HvA:€173overigen:€230,524305,Danilo Nisi,English,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/theater/acteren-en-theatermaken/,theater,"Let op: deze cursus wordt zowel in het Nederlands als in het Engels aangeboden; kijk goed bij de cursusdetails voor welke taal jij je inschrijft!

Verdiep je in de basiselementen van theaterspel en versterk jouw speltechniek door opnieuw aan de slag te gaan met het eigen lichaam; verbeelding van emotie; ruimtelijk bewustzijn en verhouding in scenes.  

Wat ga je doen? Deze cursus is naast lekker aan het werk gaan met jouw spel ook een reis langs verschillende vormen van theater; zoals object theater; fysiek theater; improvisatietheater en klassiek teksttoneel.  De les start met een warming up. Hierna ga je aan de slag met oefeningen passend bij het thema of de theatervorm van die dag. In groepjes; met zijn allen; of in duo’s doe je opdrachten

De lessen van Maruja; In de lessen wordt een beroep gedaan op jouw eigen creativiteit. Deze eigen inbreng wordt gekoppeld aan de les opdrachten en zo leer je de basisbeginselen van het theatermaken. De les wordt afgesloten met een toonmoment waarbij we naar elkaars oefeningen kijken. Maruja heeft een grote voorliefde voor interdisciplinaire vormen van theater; zoals muziektheater en bewegingstheater. In haar lessen legt zij verbindingen tussen creativiteit en persoonlijke ontwikkeling en staat spelplezier bovenaan. 

De lessen van Danilo; In deze verdiepende cursus gaan we de diepte in en gaan we verder met het verkennen van speltechnieken en verschillende theatervormen; maar ook de basiselementen zullen veel terugkomen. Hierbij vindt Danilo het onder andere belangrijk dat je durf toont en ervoor open staat om samen het onderzoek aan te gaan. Daarnaast is spelplezier een belangrijk gegeven in zijn lessen; omdat hij ervan overtuigd is dat je dan het meeste leert!"
Acteren en Theatermaken voor Beginners,ma,10:30 - 17:00,ma 10:30 - 17:00,29-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,523990,Imre van den Bosch,Nederlands,inschrijven niet meer mogelijk,https://www.crea.nl/courses/zomercursussen/theater-zomer/acteren-en-theatermaken-voor-beginners/,theater (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

In deze cursus verkennen we op speelse wijze verschillende stijlen en vormen van theater. We benaderen acteren en het creëren van scènes vanuit diverse bronnen en leren zo de beginselen van theater maken. Je ontdekt hoe je met behulp van je dagelijks leven verder kan werken aan je performance.

Ben je nieuwsgierig naar acteren en theater maken? Wil je je een week lang onderdompelen in het spel en maken? In deze weekcursus behandelen we onder andere basistechnieken van acteren en theater maken. We gaan vooral veel met elkaar aan het werk en ontdekken hoe we iets kunnen creëren vanuit het niets!

Wat gaan we doen? We gaan ons verdiepen in de verschillende stijlen en vormen van theater en acteren. Een speelse benadering staat centraal in alles wat we doen; we gaan zelf de vloer op om te spelen; maar staan ook stil bij de rol van de maker en toeschouwer."
Acteren voor Beginners,ma,10:30 - 17:00,ma 10:30 - 17:00,29-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,523948,Lukas Schmidt,English; Nederlands,Sorry; deze cursus is vol,https://www.crea.nl/courses/zomercursussen/theater-zomer/acteren-voor-beginners/,theater (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Nieuwsgierig naar acteren? Heb je nog weinig ervaring en heb je zin om een week lang je onder te dompelen in spelen? In deze weekcursus gaan we aan de slag met de basistechnieken van acteren. We spelen veel improvisaties; maken scenes; gaan aan de slag met monologen en dialogen en we raken wat theorie aan om meer te leren over verschillende speelstijlen en – technieken. Je krijgt een divers palet aan trainingen in spel; tekst; beweging; personage ontwerp; impro en performen. Spelplezier; samenwerken en ontdekken staan centraal.

Wat gaan we doen? We beginnen elke dag met de introductie van een nieuwe techniek. Door middel van speloefeningen; improvisaties; tekstlezingen en nabesprekingen ontdek je jouw sterke kanten van het spelen. Aan het einde van de dag spelen we scenes voor elkaar en de fijne en veilige sfeer in de groep zorgt ervoor dat je plezier en lef opbouwt."
Acteren voor Camera,di,17:30 - 19:30,di 17:30 - 19:30,15-04-2025,9 weken,block 3 - spring,student:€138jong-alumnus UvA/HvA:€208oud-alumnus UvA/HvA:€245medewerker UvA/HvA:€208overigen:€288,524320,Reinier Noordzij,Nederlands,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/film-design-and-media/acteren-voor-camera/,film design and media / theater,"Bestaat er zoiets als ‘camera-acteren’? Zijn er uiteindelijk niet slechts twee soorten acteurs: goede en slechte? De kwaliteit van een goed acteur verloochent zich immers niet. Waarom dan toch aparte lessen in het camera-acteren? Omdat het acteren voor een camera inhoudelijk en praktisch een aantal specifieke eigenaardigheden en technieken kent die de moeite van het onderzoeken waard zijn.

Wat gaan we doen? De cursus bestaat uit een deel theorie; die in de praktijk wordt gebracht middels individuele en groepsoefeningen. Daarnaast zal het acteren in (bestaande) scenes een groot deel van de cursus beslaan. Je leert een geloofwaardig personage te ontwikkelen door dicht bij jezelf te komen en kwetsbaar te durven zijn. Ook speel je met het uitvergroten van je eigen karaktereigenschappen. Je leert een scene analyseren en te werken volgens het push-pull principe. Je ontdekt hoe een filmset in praktisch opzicht functioneert. In de groep werken we daarom zowel voor als achter de camera. Scenes worden (deels) teruggekeken en klassikaal besproken.  "
Acteren: Basis,ma,17:30 - 19:30,ma 17:30 - 19:30,07-04-2025,9 weken,block 3 - spring,student:€115jong-alumnus UvA/HvA:€173oud-alumnus UvA/HvA:€196medewerker UvA/HvA:€173overigen:€230,524313,Maruja Bobo Remijn,Nederlands,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/theater/acteren-basis/,theater,"Stap in de oneindige wereld van theater in al haar verschijningsvormen! Deze cursus is een introductie in theaterspel. Je maakt kennis met de basisprincipes van acteren; zoals verbeelding; improvisatie; personage opbouw en samenspel.  Deze cursus is ook een ontdekkingstocht langs verschillende vormen van theater. Zo werken we iedere week rondom een bepaalde dramatische werkvorm zoals bewegingstheater; naturalistisch spel en object-theater.  Wat gaan we doen? We beginnen de les altijd met een fysieke warming up; met oefeningen voor je stem; je lichaam en het gebruik van de ruimte. Daarna werk je samen met de groep; in kleinere groepjes of in duo’s.  In de laatste lessen werken we in overleg met elkaar toe naar een kleine presentatie/voorstelling die we zullen laten zien aan publiek dat we zelf uitnodigen.  

De lessen van Maruja; Maruja Bobo Remijn is dramadocent; regisseur en theatermaker. Zij werkte onder andere op de Universiteit van Amsterdam waar ze vakken doceerde op het grensvlak tussen theater en filosofie. Maruja heeft een grote voorliefde voor interdisciplinaire vormen van theater; zoals muziektheater en bewegingstheater. In haar lessen legt zij verbindingen tussen creativiteit en persoonlijke ontwikkeling en staat spelplezier bovenaan. 

De lessen van Danilo; Danilo is werkzaam als theatermaker; acteur en theaterdocent op verschillende plekken in het theaterlandschap. Tijdens deze cursus zullen wij ons op de basis van het acteren focussen. Hierbij vindt Danilo het belangrijkste dat je durf toont en ervoor open staat om samen het onderzoek aan te gaan. Daarnaast is spelplezier een belangrijk gegeven in zijn lessen; omdat hij ervan overtuigd is dat je dan het meeste leert. Gedurende de cursus zal je doormiddel van dialogen; improvisaties en fysieke opdrachten duidelijke handvatten krijgen om te groeien als speler. 

 “De docent weet een hele leuke; veilige; verbonden sfeer te creëren waarin iedereen zich op diens eigen manier durft te laten zien en kan experimenteren.” – Cursist (seizoen 2023-2024/blok 2) 

Ingangsniveau Iedereen is welkom!"
Acteren: Basis,di,17:15 - 19:15,di 17:15 - 19:15,15-04-2025,9 weken,block 3 - spring,student:€115jong-alumnus UvA/HvA:€173oud-alumnus UvA/HvA:€196medewerker UvA/HvA:€173overigen:€230,524302,Danilo Nisi,Nederlands,Schrijf je in,https://www.crea.nl/courses/theater/acteren-basis/,theater,"Stap in de oneindige wereld van theater in al haar verschijningsvormen! Deze cursus is een introductie in theaterspel. Je maakt kennis met de basisprincipes van acteren; zoals verbeelding; improvisatie; personage opbouw en samenspel.  Deze cursus is ook een ontdekkingstocht langs verschillende vormen van theater. Zo werken we iedere week rondom een bepaalde dramatische werkvorm zoals bewegingstheater; naturalistisch spel en object-theater.  Wat gaan we doen? We beginnen de les altijd met een fysieke warming up; met oefeningen voor je stem; je lichaam en het gebruik van de ruimte. Daarna werk je samen met de groep; in kleinere groepjes of in duo’s.  In de laatste lessen werken we in overleg met elkaar toe naar een kleine presentatie/voorstelling die we zullen laten zien aan publiek dat we zelf uitnodigen.  

De lessen van Maruja; Maruja Bobo Remijn is dramadocent; regisseur en theatermaker. Zij werkte onder andere op de Universiteit van Amsterdam waar ze vakken doceerde op het grensvlak tussen theater en filosofie. Maruja heeft een grote voorliefde voor interdisciplinaire vormen van theater; zoals muziektheater en bewegingstheater. In haar lessen legt zij verbindingen tussen creativiteit en persoonlijke ontwikkeling en staat spelplezier bovenaan. 

De lessen van Danilo; Danilo is werkzaam als theatermaker; acteur en theaterdocent op verschillende plekken in het theaterlandschap. Tijdens deze cursus zullen wij ons op de basis van het acteren focussen. Hierbij vindt Danilo het belangrijkste dat je durf toont en ervoor open staat om samen het onderzoek aan te gaan. Daarnaast is spelplezier een belangrijk gegeven in zijn lessen; omdat hij ervan overtuigd is dat je dan het meeste leert. Gedurende de cursus zal je doormiddel van dialogen; improvisaties en fysieke opdrachten duidelijke handvatten krijgen om te groeien als speler. 

 “De docent weet een hele leuke; veilige; verbonden sfeer te creëren waarin iedereen zich op diens eigen manier durft te laten zien en kan experimenteren.” – Cursist (seizoen 2023-2024/blok 2) 

Ingangsniveau Iedereen is welkom!"
Acteren: Elementair Improviseren,ma,20:15 - 22:15,ma 20:15 - 22:15,07-04-2025,9 weken,block 3 - spring,student:€115jong-alumnus UvA/HvA:€173oud-alumnus UvA/HvA:€196medewerker UvA/HvA:€173overigen:€230,524318,Olaf Pieters,Nederlands,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/theater/acteren-elementair-improviseren/,theater,"Heb je altijd al willen acteren; maar weet je niet waar je moet beginnen? Of voel jij je al helemaal thuis op de planken en wil je je kennis verbreden met een nieuwe acteermethode waarmee je direct aan de slag kan? Maak dan kennis met elementair improviseren. In tien lessen dring je door tot de kern van acteren door middel van improvisaties op gegeven én zelfbedachte conflictsituaties.

Vier elementen
Om je spel zo veelzijdig en indrukwekkend mogelijk te maken; ga je vier elementaire kanten van je personage onderzoeken én inzetten: je gedrevenheid (vuur); je openheid (water); je soepelheid van denken (lucht) en je rust (aarde). Met deze methode ontdek je hoe je emoties kan oproepen en hoe je ze vervolgens kan vertalen naar theater; zonder dat het te zwaar wordt. We zoeken daarbij zowel de humor als de diepgang op; maar vooral het spelplezier!

Wat ga je doen?
Na een korte; krachtige warming-up ga je op de speelvloer op zoek naar noodzaak van handelen; waarachtig luisteren en incasseren; snel en virtuoos schakelen; en controle en beheersing om zodoende ‘in het moment’ van de te spelen situatie te komen.

Over de methode
Deze ingang tot spelen; gebaseerd op jarenlange praktijkervaring; reikt hele concrete handvatten aan voor iedereen die improviseren spannend vind om te doen; waardoor spelers met meer zelfvertrouwen op de vloer staan en zich veel meer kunnen overgeven aan de te spelen situatie. Het zorgt ervoor dat je tijdens het spelen niet ‘vast komt te zitten’ en geeft de scène een heldere opbouw en een duidelijk doel. Kortom: een waardevolle en concrete acteerbenadering waar je als beginnende én als gevorderde speler veel aan hebt!

Over de docent
Olaf Pieters geeft nu 25 jaar bijna dagelijks les in deze methode op diverse theateropleidingen in Nederland; en heeft 10 jaar met Helmert Woudenberg; de maker van deze methode; samengewerkt. Hij gebruikt deze aanpak niet alleen bij het spelen van rollen; maar ook bij het regisseren van voorstellingen."
Acteren: Elementair Improviseren in één Dag,zo,11:00 - 16:00,zo 11:00 - 16:00,15-06-2025,1 dag,block 3 - spring,student:€70jong-alumnus UvA/HvA:€105oud-alumnus UvA/HvA:€120medewerker UvA/HvA:€105overigen:€140,524321,Olaf Pieters,Nederlands,Schrijf je in,https://www.crea.nl/courses/theater/improviseren-volgens-de-4-elementen-spelmethode/,theater,"Let op! Voor dagcursussen sluiten de inschrijvingen in principe om 12:00 op de dinsdag voor aanvang van de cursus.  Schrijf je dus uiterlijk dinsdag 10 juni 11:59u in!

Altijd al willen acteren; maar weet je niet waar je moet starten? Of ben je al ervaren op het podium en wil je je vaardigheden verder ontwikkelen met een nieuwe acteermethode die je meteen kunt toepassen? Maak dan kennis met de spraakmakende 4 Elementen Acteermethode van Helmert Woudenberg!

In deze intensieve dagcursus dring je door tot de essentie van acteren door middel van improvisaties op gegeven én zelfbedachte conflictsituaties. Om je spel zo veelzijdig en indrukwekkend mogelijk te maken; ga je vier elementaire kanten van je personage onderzoeken en inzetten: je gedrevenheid (vuur); openheid (water); soepelheid van denken (lucht) en rust (aarde).

Wat ga je doen? Na een korte; krachtige warming-up ga je de speelvloer op; waar je leert te focussen op de noodzaak van handelen. Je oefent het waarachtig luisteren naar je medespelers; zodat je natuurlijk kunt reageren op de situatie. Daarnaast ontwikkel je de vaardigheid om snel en vlot te schakelen tussen verschillende emoties en reacties; wat essentieel is voor een dynamisch spel. Kortom: een waardevolle en concrete acteerbenadering waar je als beginnende én als gevorderde speler veel aan hebt!"
Acteren: Internationaal Theater Amsterdam,wo,19:30 - 21:30,wo 19:30 - 21:30,16-04-2025,9 weken,block 3 - spring,student:€138jong-alumnus UvA/HvA:€208oud-alumnus UvA/HvA:€245medewerker UvA/HvA:€208overigen:€288,524311,Justin van der Veen,Nederlands,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/theater/acteren-internationaal-theater-amsterdam/,theater,"Je acteervaardigheden verdiepen én een kijkje nemen bij Internationaal Theater Amsterdam? In deze cursus komen beide aan bod.

Onder begeleiding van een CREA-docent werk je aan spel en tekstbehandeling; met een voorstelling van ITA als uitgangspunt. Jullie lezen de tekst; storten je op een aantal uitdagende scenes; keren deze op de vloer eens goed binnenstebuiten én bezoeken de voorstelling in het Internationaal Theater Amsterdam aan het Leidseplein.

Wat gaan we doen? In deze cursus werk je aan tekstbehandeling; samenspel en spelen vanuit intentie en subtekst. Je werkt daarbij met de originele tekst van ITA; zoals die ook in de voorstelling gebruikt wordt. Je onderzoekt je eigen fysiek en stem en leert deze op een effectieve manier te gebruiken. Wat dit speciale project onderscheidt van de reguliere cursussen; is dat we een voorstelling bij ITA bezoeken en je deelneemt aan een masterclass gegeven door een van de acteurs van ITA. Hier zijn toeschouwers welkom voor een kijkje in de keuken.

De voorstellingen waar we mee werken en die we zullen bezoeken voor het cursusjaar 2024-2025 zijn: De Jaren (blok 1 – herfst; bezoek voorstelling op 29 november 2024; masterclass dinsdag 10 december 2024 19:00-21:00); Giovanni’s Room (blok 2 – winter; bezoek voorstelling op 31 januari 2025; masterclass met Steven van Watermeulen op dinsdag 25 maart 19:00-21:00) &  Angels in America (blok 3 – lente; bezoek voorstelling op 24 april 2025. datum masterclass volgt).

“Met de tekst van Lorca aan de slag gaan was een hele uitdaging. Het is een prachtige en poëtische tekst en moeilijk in het hoofd te krijgen; maar het was geweldig om in deze cursus te leren hoe je zo’n tekst kunt spelen op een manier die toch natuurlijk aanvoelt. Ik vind het heel waardevol dat ik heb geleerd om te schakelen tussen emoties; dat we zelf naar het theater zijn geweest en dat we hebben geleerd om op elkaar te reageren in spel.”– Lotta; cursist (seizoen 2023-2024/blok 1)"
